model,strategy,run_id,model_key,preset,evaluation_split,eval_size,eval_per_label,max_new_tokens,do_sample,temperature,top_p,repetition_penalty,k_shots,k_per_label,fewshot_strategy,max_question_chars,max_answer_chars,max_context_chars,enable_thinking,generator_backend,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,f1_micro,invalid_rate,prompt_chars_mean,prompt_chars_max,truth_clear_reply,truth_ambivalent,truth_clear_non_reply,truth___invalid__,pred_clear_reply,pred_ambivalent,pred_clear_non_reply,pred___invalid__,majority_label,majority_accuracy,accuracy_minus_majority,valid_rate,parse_single_mention
Qwen/Qwen3.5-0.8B,few-shot,qwen-0.8b_few-shot,qwen-0.8b,full,validation,30,10,48,False,0.0,1.0,1.0,3,1,balanced,300,900,500,False,auto,0.43333333333333335,0.31216931216931215,0.43333333333333335,0.3474816072439162,0.34748160724391625,0.43333333333333335,0.0,4700.4,5219,10,10,10,0,21,0,9,0,Clear Non-Reply,0.3333333333333333,0.10000000000000003,1.0,30
Qwen/Qwen3.5-0.8B,cot,qwen-0.8b_cot,qwen-0.8b,full,validation,30,10,48,False,0.0,1.0,1.0,3,1,balanced,300,900,500,False,auto,0.4,0.26851851851851855,0.39999999999999997,0.3181818181818182,0.3181818181818182,0.4,0.0,4762.4,5281,10,10,10,0,18,0,12,0,Clear Non-Reply,0.3333333333333333,0.06666666666666671,1.0,30
Qwen/Qwen3.5-0.8B,self-check,qwen-0.8b_self-check,qwen-0.8b,full,validation,30,10,48,False,0.0,1.0,1.0,3,1,balanced,300,900,500,False,auto,0.3333333333333333,0.22321428571428573,0.3333333333333333,0.2670940170940171,0.2670940170940171,0.3333333333333333,0.0,4770.4,5289,10,10,10,0,14,0,16,0,Clear Non-Reply,0.3333333333333333,0.0,1.0,30
Qwen/Qwen3.5-0.8B,zero-shot,qwen-0.8b_zero-shot,qwen-0.8b,full,validation,30,10,48,False,0.0,1.0,1.0,3,1,balanced,300,900,500,False,auto,0.36666666666666664,0.4482758620689655,0.3666666666666667,0.23154623154623155,0.23154623154623152,0.36666666666666664,0.0,1364.4,1883,10,10,10,0,29,0,1,0,Clear Non-Reply,0.3333333333333333,0.033333333333333326,1.0,30
