,qwen-0.8b_zero-shot,qwen-0.8b_few-shot,qwen-0.8b_cot,qwen-0.8b_self-check,qwen-2b_zero-shot,qwen-2b_few-shot,qwen-2b_cot,qwen-2b_self-check
qwen-0.8b_zero-shot,1.0,0.7142857142857143,0.6818181818181818,0.625,0.75,0.8,0.8,0.8
qwen-0.8b_few-shot,0.7142857142857143,1.0,0.9444444444444444,0.85,0.7368421052631579,0.7,0.7,0.7
qwen-0.8b_cot,0.6818181818181818,0.9444444444444444,1.0,0.9,0.7,0.6666666666666666,0.6666666666666666,0.6666666666666666
qwen-0.8b_self-check,0.625,0.85,0.9,1.0,0.6363636363636364,0.6086956521739131,0.6086956521739131,0.6086956521739131
qwen-2b_zero-shot,0.75,0.7368421052631579,0.7,0.6363636363636364,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334
qwen-2b_few-shot,0.8,0.7,0.6666666666666666,0.6086956521739131,0.8333333333333334,1.0,1.0,1.0
qwen-2b_cot,0.8,0.7,0.6666666666666666,0.6086956521739131,0.8333333333333334,1.0,1.0,1.0
qwen-2b_self-check,0.8,0.7,0.6666666666666666,0.6086956521739131,0.8333333333333334,1.0,1.0,1.0
