group,group_col,n,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,f1_micro,invalid_rate
"(10.0, 16.667]",question_words_bin,9,0.4444444444444444,0.2833333333333333,0.3666666666666667,0.3111111111111111,0.4074074074074074,0.4444444444444444,0.0
"(16.667, 76.0]",question_words_bin,10,0.3,0.19444444444444442,0.3333333333333333,0.24444444444444446,0.22666666666666666,0.3,0.0
"(2.999, 10.0]",question_words_bin,11,0.2727272727272727,0.21428571428571427,0.27777777777777773,0.2333333333333333,0.23636363636363636,0.2727272727272727,0.0
"(305.0, 1220.0]",answer_words_bin,10,0.2,0.1111111111111111,0.13333333333333333,0.12121212121212122,0.18181818181818182,0.2,0.0
"(5.999, 65.667]",answer_words_bin,10,0.3,0.14285714285714285,0.19999999999999998,0.16666666666666666,0.25,0.3,0.0
"(65.667, 305.0]",answer_words_bin,10,0.5,0.3333333333333333,0.5,0.39814814814814814,0.4027777777777778,0.5,0.0
"(321.667, 1246.0]",combined_words_bin,10,0.2,0.1111111111111111,0.13333333333333333,0.12121212121212122,0.18181818181818182,0.2,0.0
"(75.0, 321.667]",combined_words_bin,10,0.5,0.3333333333333333,0.5,0.39814814814814814,0.4027777777777778,0.5,0.0
"(9.999, 75.0]",combined_words_bin,10,0.3,0.14285714285714285,0.19999999999999998,0.16666666666666666,0.25,0.3,0.0
