group,group_col,n,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,f1_micro,invalid_rate
"(10.0, 16.667]",question_words_bin,9,0.5555555555555556,0.3833333333333333,0.5333333333333333,0.41269841269841273,0.4973544973544974,0.5555555555555556,0.0
"(16.667, 76.0]",question_words_bin,10,0.3,0.19444444444444442,0.3333333333333333,0.24444444444444446,0.22666666666666666,0.3,0.0
"(2.999, 10.0]",question_words_bin,11,0.36363636363636365,0.2261904761904762,0.3611111111111111,0.27705627705627706,0.2762691853600944,0.36363636363636365,0.0
"(305.0, 1220.0]",answer_words_bin,10,0.3,0.14285714285714285,0.19999999999999998,0.16666666666666666,0.25,0.3,0.0
"(5.999, 65.667]",answer_words_bin,10,0.4,0.25,0.3666666666666667,0.2929292929292929,0.33939393939393936,0.4,0.0
"(65.667, 305.0]",answer_words_bin,10,0.5,0.36507936507936506,0.5,0.3904761904761904,0.40857142857142853,0.5,0.0
"(321.667, 1246.0]",combined_words_bin,10,0.3,0.14285714285714285,0.19999999999999998,0.16666666666666666,0.25,0.3,0.0
"(75.0, 321.667]",combined_words_bin,10,0.5,0.36507936507936506,0.5,0.3904761904761904,0.40857142857142853,0.5,0.0
"(9.999, 75.0]",combined_words_bin,10,0.4,0.25,0.3666666666666667,0.2929292929292929,0.33939393939393936,0.4,0.0
