group,group_col,n,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,f1_micro,invalid_rate
"(10.0, 16.667]",question_words_bin,9,0.5555555555555556,0.3833333333333333,0.5333333333333333,0.41269841269841273,0.4973544973544974,0.5555555555555556,0.0
"(16.667, 76.0]",question_words_bin,10,0.4,0.25396825396825395,0.4166666666666667,0.3151515151515151,0.29818181818181816,0.4,0.0
"(2.999, 10.0]",question_words_bin,11,0.36363636363636365,0.27777777777777773,0.3611111111111111,0.2871794871794872,0.27692307692307694,0.36363636363636365,0.0
"(305.0, 1220.0]",answer_words_bin,10,0.4,0.14814814814814814,0.26666666666666666,0.19047619047619047,0.2857142857142857,0.4,0.0
"(5.999, 65.667]",answer_words_bin,10,0.4,0.26666666666666666,0.3666666666666667,0.29523809523809524,0.3571428571428571,0.4,0.0
"(65.667, 305.0]",answer_words_bin,10,0.5,0.36507936507936506,0.5,0.3904761904761904,0.40857142857142853,0.5,0.0
"(321.667, 1246.0]",combined_words_bin,10,0.4,0.14814814814814814,0.26666666666666666,0.19047619047619047,0.2857142857142857,0.4,0.0
"(75.0, 321.667]",combined_words_bin,10,0.5,0.36507936507936506,0.5,0.3904761904761904,0.40857142857142853,0.5,0.0
"(9.999, 75.0]",combined_words_bin,10,0.4,0.26666666666666666,0.3666666666666667,0.29523809523809524,0.3571428571428571,0.4,0.0
