group,group_col,n,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,f1_micro,invalid_rate
"(11.0, 17.0]",question_words_bin,10,0.4,0.2222222222222222,0.26666666666666666,0.24242424242424243,0.36363636363636365,0.4,0.0
"(17.0, 38.0]",question_words_bin,9,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.14814814814814814,0.2222222222222222,0.0
"(4.999, 11.0]",question_words_bin,11,0.36363636363636365,0.2261904761904762,0.5833333333333334,0.3151515151515151,0.23471074380165288,0.36363636363636365,0.0
"(0.999, 207.667]",answer_words_bin,10,0.4,0.4166666666666667,0.5,0.35555555555555557,0.3466666666666667,0.4,0.0
"(207.667, 460.0]",answer_words_bin,10,0.3,0.20634920634920637,0.6666666666666666,0.3148148148148148,0.1388888888888889,0.3,0.0
"(460.0, 925.0]",answer_words_bin,10,0.3,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.15,0.3,0.0
"(221.667, 476.333]",combined_words_bin,10,0.3,0.20634920634920637,0.6666666666666666,0.3148148148148148,0.1388888888888889,0.3,0.0
"(476.333, 958.0]",combined_words_bin,10,0.3,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.15,0.3,0.0
"(7.999, 221.667]",combined_words_bin,10,0.4,0.4166666666666667,0.5,0.35555555555555557,0.3466666666666667,0.4,0.0
