group,group_col,n,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,f1_micro,invalid_rate
"(11.0, 17.0]",question_words_bin,10,0.5,0.20833333333333334,0.3333333333333333,0.25641025641025644,0.38461538461538464,0.5,0.0
"(17.0, 38.0]",question_words_bin,9,0.2222222222222222,0.09523809523809523,0.3333333333333333,0.14814814814814814,0.09876543209876543,0.2222222222222222,0.0
"(4.999, 11.0]",question_words_bin,11,0.36363636363636365,0.2333333333333333,0.5833333333333334,0.3111111111111111,0.2484848484848485,0.36363636363636365,0.0
"(0.999, 207.667]",answer_words_bin,10,0.5,0.42857142857142855,0.5833333333333334,0.4338624338624338,0.4317460317460317,0.5,0.0
"(207.667, 460.0]",answer_words_bin,10,0.3,0.19444444444444442,0.6666666666666666,0.3,0.13999999999999999,0.3,0.0
"(460.0, 925.0]",answer_words_bin,10,0.3,0.14285714285714285,0.3333333333333333,0.19999999999999998,0.18,0.3,0.0
"(221.667, 476.333]",combined_words_bin,10,0.3,0.19444444444444442,0.6666666666666666,0.3,0.13999999999999999,0.3,0.0
"(476.333, 958.0]",combined_words_bin,10,0.3,0.14285714285714285,0.3333333333333333,0.19999999999999998,0.18,0.3,0.0
"(7.999, 221.667]",combined_words_bin,10,0.5,0.42857142857142855,0.5833333333333334,0.4338624338624338,0.4317460317460317,0.5,0.0
