group,group_col,n,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,f1_micro,invalid_rate
"(11.0, 17.0]",question_words_bin,10,0.5,0.5555555555555555,0.3333333333333333,0.35353535353535354,0.5303030303030303,0.5,0.0
"(17.0, 38.0]",question_words_bin,9,0.1111111111111111,0.16666666666666666,0.047619047619047616,0.07407407407407407,0.1728395061728395,0.1111111111111111,0.0
"(4.999, 11.0]",question_words_bin,11,0.36363636363636365,0.12121212121212122,0.3333333333333333,0.17777777777777778,0.19393939393939394,0.36363636363636365,0.0
"(0.999, 207.667]",answer_words_bin,10,0.4,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.26666666666666666,0.4,0.0
"(207.667, 460.0]",answer_words_bin,10,0.2,0.38095238095238093,0.21428571428571427,0.1574074074074074,0.21944444444444447,0.2,0.0
"(460.0, 925.0]",answer_words_bin,10,0.4,0.4444444444444444,0.38095238095238093,0.25,0.325,0.4,0.0
"(221.667, 476.333]",combined_words_bin,10,0.2,0.38095238095238093,0.21428571428571427,0.1574074074074074,0.21944444444444447,0.2,0.0
"(476.333, 958.0]",combined_words_bin,10,0.4,0.4444444444444444,0.38095238095238093,0.25,0.325,0.4,0.0
"(7.999, 221.667]",combined_words_bin,10,0.4,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.26666666666666666,0.4,0.0
