group,group_col,n,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,f1_micro,invalid_rate
"(11.0, 17.0]",question_words_bin,10,0.6,0.5185185185185185,0.39999999999999997,0.34920634920634924,0.5238095238095238,0.6,0.0
"(17.0, 38.0]",question_words_bin,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(4.999, 11.0]",question_words_bin,11,0.45454545454545453,0.4666666666666666,0.3888888888888889,0.2857142857142857,0.36363636363636365,0.45454545454545453,0.0
"(0.999, 207.667]",answer_words_bin,10,0.5,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.4,0.5,0.0
"(207.667, 460.0]",answer_words_bin,10,0.3,0.40740740740740744,0.38095238095238093,0.20454545454545456,0.24772727272727274,0.3,0.0
"(460.0, 925.0]",answer_words_bin,10,0.3,0.09999999999999999,0.3333333333333333,0.15384615384615385,0.13846153846153847,0.3,0.0
"(221.667, 476.333]",combined_words_bin,10,0.3,0.40740740740740744,0.38095238095238093,0.20454545454545456,0.24772727272727274,0.3,0.0
"(476.333, 958.0]",combined_words_bin,10,0.3,0.09999999999999999,0.3333333333333333,0.15384615384615385,0.13846153846153847,0.3,0.0
"(7.999, 221.667]",combined_words_bin,10,0.5,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.4,0.5,0.0
