group,group_col,n,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,f1_micro,invalid_rate
"(11.0, 17.0]",question_words_bin,10,0.1,0.3333333333333333,0.06666666666666667,0.1111111111111111,0.16666666666666666,0.18181818181818182,0.9
"(17.0, 38.0]",question_words_bin,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(4.999, 11.0]",question_words_bin,11,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909091
"(0.999, 207.667]",answer_words_bin,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(207.667, 460.0]",answer_words_bin,10,0.1,0.3333333333333333,0.047619047619047616,0.08333333333333333,0.175,0.18181818181818182,0.9
"(460.0, 925.0]",answer_words_bin,10,0.0,0.0,0.0,0.0,0.0,0.0,0.9
"(221.667, 476.333]",combined_words_bin,10,0.1,0.3333333333333333,0.047619047619047616,0.08333333333333333,0.175,0.18181818181818182,0.9
"(476.333, 958.0]",combined_words_bin,10,0.0,0.0,0.0,0.0,0.0,0.0,0.9
"(7.999, 221.667]",combined_words_bin,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0
