group,group_col,n,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,f1_micro,invalid_rate
"(11.0, 17.0]",question_words_bin,10,0.4,0.16666666666666666,0.26666666666666666,0.20512820512820515,0.3076923076923077,0.4,0.0
"(17.0, 38.0]",question_words_bin,9,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.14814814814814814,0.2222222222222222,0.0
"(4.999, 11.0]",question_words_bin,11,0.2727272727272727,0.14285714285714285,0.25,0.1818181818181818,0.1983471074380165,0.2727272727272727,0.0
"(0.999, 207.667]",answer_words_bin,10,0.4,0.31746031746031744,0.5,0.3386243386243386,0.31746031746031744,0.4,0.0
"(207.667, 460.0]",answer_words_bin,10,0.2,0.07407407407407407,0.3333333333333333,0.12121212121212122,0.07272727272727272,0.2,0.0
"(460.0, 925.0]",answer_words_bin,10,0.3,0.125,0.3333333333333333,0.1818181818181818,0.16363636363636364,0.3,0.0
"(221.667, 476.333]",combined_words_bin,10,0.2,0.07407407407407407,0.3333333333333333,0.12121212121212122,0.07272727272727272,0.2,0.0
"(476.333, 958.0]",combined_words_bin,10,0.3,0.125,0.3333333333333333,0.1818181818181818,0.16363636363636364,0.3,0.0
"(7.999, 221.667]",combined_words_bin,10,0.4,0.31746031746031744,0.5,0.3386243386243386,0.31746031746031744,0.4,0.0
