group,group_col,n,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,f1_micro,invalid_rate
"(10.0, 16.667]",question_words_bin,9,0.3333333333333333,0.4166666666666667,0.39999999999999997,0.24444444444444446,0.2740740740740741,0.3333333333333333,0.0
"(16.667, 76.0]",question_words_bin,10,0.4,0.4583333333333333,0.4166666666666667,0.38888888888888884,0.3333333333333333,0.4,0.0
"(2.999, 10.0]",question_words_bin,11,0.36363636363636365,0.4444444444444444,0.3611111111111111,0.32051282051282054,0.3041958041958042,0.36363636363636365,0.0
"(305.0, 1220.0]",answer_words_bin,10,0.5,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.5,0.0
"(5.999, 65.667]",answer_words_bin,10,0.4,0.4166666666666667,0.4666666666666666,0.3238095238095238,0.36571428571428566,0.4,0.0
"(65.667, 305.0]",answer_words_bin,10,0.2,0.38095238095238093,0.19444444444444442,0.20000000000000004,0.22000000000000003,0.2,0.0
"(321.667, 1246.0]",combined_words_bin,10,0.5,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.5,0.0
"(75.0, 321.667]",combined_words_bin,10,0.2,0.38095238095238093,0.19444444444444442,0.20000000000000004,0.22000000000000003,0.2,0.0
"(9.999, 75.0]",combined_words_bin,10,0.4,0.4166666666666667,0.4666666666666666,0.3238095238095238,0.36571428571428566,0.4,0.0
