group,group_col,n,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,f1_micro,invalid_rate
"(10.0, 16.667]",question_words_bin,9,0.6666666666666666,0.4666666666666666,0.6,0.48677248677248675,0.6208112874779541,0.6666666666666666,0.0
"(16.667, 76.0]",question_words_bin,10,0.6,0.41269841269841273,0.6666666666666666,0.5090909090909091,0.450909090909091,0.6,0.0
"(2.999, 10.0]",question_words_bin,11,0.36363636363636365,0.2619047619047619,0.38888888888888884,0.3116883116883117,0.28807556080283353,0.36363636363636365,0.0
"(305.0, 1220.0]",answer_words_bin,10,0.5,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.5,0.0
"(5.999, 65.667]",answer_words_bin,10,0.5,0.20833333333333334,0.3333333333333333,0.25641025641025644,0.38461538461538464,0.5,0.0
"(65.667, 305.0]",answer_words_bin,10,0.6,0.4761904761904762,0.5833333333333334,0.4857142857142857,0.5228571428571428,0.6,0.0
"(321.667, 1246.0]",combined_words_bin,10,0.5,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.5,0.0
"(75.0, 321.667]",combined_words_bin,10,0.6,0.4761904761904762,0.5833333333333334,0.4857142857142857,0.5228571428571428,0.6,0.0
"(9.999, 75.0]",combined_words_bin,10,0.5,0.20833333333333334,0.3333333333333333,0.25641025641025644,0.38461538461538464,0.5,0.0
