group,group_col,n,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,f1_micro,invalid_rate
"(10.0, 16.667]",question_words_bin,9,0.2222222222222222,0.07407407407407407,0.3333333333333333,0.12121212121212122,0.08080808080808081,0.2222222222222222,0.0
"(16.667, 76.0]",question_words_bin,10,0.4,0.13333333333333333,0.3333333333333333,0.19047619047619047,0.22857142857142856,0.4,0.0
"(2.999, 10.0]",question_words_bin,11,0.36363636363636365,0.12121212121212122,0.3333333333333333,0.17777777777777778,0.19393939393939394,0.36363636363636365,0.0
"(305.0, 1220.0]",answer_words_bin,10,0.5,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.5,0.0
"(5.999, 65.667]",answer_words_bin,10,0.2,0.06666666666666667,0.3333333333333333,0.1111111111111111,0.06666666666666667,0.2,0.0
"(65.667, 305.0]",answer_words_bin,10,0.3,0.09999999999999999,0.3333333333333333,0.15384615384615385,0.13846153846153847,0.3,0.0
"(321.667, 1246.0]",combined_words_bin,10,0.5,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.5,0.0
"(75.0, 321.667]",combined_words_bin,10,0.3,0.09999999999999999,0.3333333333333333,0.15384615384615385,0.13846153846153847,0.3,0.0
"(9.999, 75.0]",combined_words_bin,10,0.2,0.06666666666666667,0.3333333333333333,0.1111111111111111,0.06666666666666667,0.2,0.0
