model,strategy,run_id,model_key,preset,evaluation_split,eval_size,eval_per_label,max_new_tokens,do_sample,temperature,top_p,repetition_penalty,k_shots,k_per_label,fewshot_strategy,max_question_chars,max_answer_chars,max_context_chars,enable_thinking,generator_backend,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,f1_micro,invalid_rate,prompt_chars_mean,prompt_chars_max,truth_clear_reply,truth_ambivalent,truth_clear_non_reply,truth___invalid__,pred_clear_reply,pred_ambivalent,pred_clear_non_reply,pred___invalid__,majority_label,majority_accuracy,accuracy_minus_majority,valid_rate,parse_single_mention
Qwen/Qwen3.5-0.8B,self-check,qwen-0.8b_self-check,qwen-0.8b,manual,validation,30,10,48,False,0.0,1.0,1.0,3,1,balanced,500,2400,500,False,auto,0.4,0.3079922027290449,0.39999999999999997,0.3363581367211131,0.33635813672111314,0.4,0.0,12065.6,13729,10,10,10,0,9,2,19,0,Clear Non-Reply,0.3333333333333333,0.06666666666666671,1.0,30
Qwen/Qwen3.5-0.8B,cot,qwen-0.8b_cot,qwen-0.8b,manual,validation,30,10,48,False,0.0,1.0,1.0,3,1,balanced,500,2400,500,False,auto,0.4,0.26666666666666666,0.39999999999999997,0.32,0.32,0.4,0.0,12057.6,13721,10,10,10,0,15,0,15,0,Clear Non-Reply,0.3333333333333333,0.06666666666666671,1.0,30
Qwen/Qwen3.5-0.8B,few-shot,qwen-0.8b_few-shot,qwen-0.8b,manual,validation,30,10,48,False,0.0,1.0,1.0,3,1,balanced,500,2400,500,False,auto,0.3333333333333333,0.2490842490842491,0.3333333333333333,0.28502415458937197,0.285024154589372,0.3333333333333333,0.0,11995.6,13659,10,10,10,0,14,3,13,0,Clear Non-Reply,0.3333333333333333,0.0,1.0,30
Qwen/Qwen3.5-0.8B,zero-shot,qwen-0.8b_zero-shot,qwen-0.8b,manual,validation,30,10,48,False,0.0,1.0,1.0,3,1,balanced,500,2400,500,False,auto,0.3333333333333333,0.28205128205128205,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.0,4074.6,5738,10,10,10,0,26,2,2,0,Clear Non-Reply,0.3333333333333333,0.0,1.0,30
