group,group_col,n,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,f1_micro,invalid_rate
"(10.0, 16.667]",question_words_bin,9,0.5555555555555556,0.6333333333333333,0.6333333333333333,0.5476190476190476,0.5555555555555556,0.5555555555555556,0.0
"(16.667, 76.0]",question_words_bin,10,0.4,0.25396825396825395,0.4166666666666667,0.3151515151515151,0.29818181818181816,0.4,0.0
"(2.999, 10.0]",question_words_bin,11,0.36363636363636365,0.27777777777777773,0.3611111111111111,0.2871794871794872,0.27692307692307694,0.36363636363636365,0.0
"(305.0, 1220.0]",answer_words_bin,10,0.4,0.14814814814814814,0.26666666666666666,0.19047619047619047,0.2857142857142857,0.4,0.0
"(5.999, 65.667]",answer_words_bin,10,0.3,0.2333333333333333,0.3,0.24338624338624337,0.27936507936507937,0.3,0.0
"(65.667, 305.0]",answer_words_bin,10,0.6,0.8095238095238096,0.611111111111111,0.5888888888888889,0.5966666666666667,0.6,0.0
"(321.667, 1246.0]",combined_words_bin,10,0.4,0.14814814814814814,0.26666666666666666,0.19047619047619047,0.2857142857142857,0.4,0.0
"(75.0, 321.667]",combined_words_bin,10,0.6,0.8095238095238096,0.611111111111111,0.5888888888888889,0.5966666666666667,0.6,0.0
"(9.999, 75.0]",combined_words_bin,10,0.3,0.2333333333333333,0.3,0.24338624338624337,0.27936507936507937,0.3,0.0
