group,group_col,n,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,f1_micro,invalid_rate
"(10.0, 16.667]",question_words_bin,9,0.2222222222222222,0.08333333333333333,0.3333333333333333,0.13333333333333333,0.08888888888888889,0.2222222222222222,0.0
"(16.667, 76.0]",question_words_bin,10,0.3,0.125,0.25,0.16666666666666666,0.2,0.3,0.0
"(2.999, 10.0]",question_words_bin,11,0.45454545454545453,0.4666666666666666,0.4444444444444444,0.35714285714285715,0.34415584415584416,0.45454545454545453,0.0
"(305.0, 1220.0]",answer_words_bin,10,0.5,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.5,0.0
"(5.999, 65.667]",answer_words_bin,10,0.3,0.2619047619047619,0.39999999999999997,0.24338624338624337,0.23174603174603173,0.3,0.0
"(65.667, 305.0]",answer_words_bin,10,0.2,0.07407407407407407,0.2222222222222222,0.1111111111111111,0.1,0.2,0.0
"(321.667, 1246.0]",combined_words_bin,10,0.5,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.5,0.0
"(75.0, 321.667]",combined_words_bin,10,0.2,0.07407407407407407,0.2222222222222222,0.1111111111111111,0.1,0.2,0.0
"(9.999, 75.0]",combined_words_bin,10,0.3,0.2619047619047619,0.39999999999999997,0.24338624338624337,0.23174603174603173,0.3,0.0
