group,group_col,n,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,f1_micro,invalid_rate
"(10.0, 16.667]",question_words_bin,9,0.4444444444444444,0.2833333333333333,0.3666666666666667,0.3111111111111111,0.4074074074074074,0.4444444444444444,0.0
"(16.667, 76.0]",question_words_bin,10,0.3,0.19444444444444442,0.3333333333333333,0.24444444444444446,0.22666666666666666,0.3,0.0
"(2.999, 10.0]",question_words_bin,11,0.45454545454545453,0.3111111111111111,0.47222222222222215,0.3703703703703704,0.36363636363636365,0.45454545454545453,0.0
"(305.0, 1220.0]",answer_words_bin,10,0.3,0.20000000000000004,0.4666666666666666,0.24444444444444446,0.23333333333333334,0.3,0.0
"(5.999, 65.667]",answer_words_bin,10,0.4,0.25396825396825395,0.3666666666666667,0.3,0.32999999999999996,0.4,0.0
"(65.667, 305.0]",answer_words_bin,10,0.5,0.36507936507936506,0.5,0.3904761904761904,0.40857142857142853,0.5,0.0
"(321.667, 1246.0]",combined_words_bin,10,0.3,0.20000000000000004,0.4666666666666666,0.24444444444444446,0.23333333333333334,0.3,0.0
"(75.0, 321.667]",combined_words_bin,10,0.5,0.36507936507936506,0.5,0.3904761904761904,0.40857142857142853,0.5,0.0
"(9.999, 75.0]",combined_words_bin,10,0.4,0.25396825396825395,0.3666666666666667,0.3,0.32999999999999996,0.4,0.0
