group,group_col,n,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,f1_micro,invalid_rate
"(10.0, 16.667]",question_words_bin,9,0.5555555555555556,0.4444444444444444,0.5333333333333333,0.4166666666666667,0.5277777777777778,0.5555555555555556,0.0
"(16.667, 76.0]",question_words_bin,10,0.4,0.14814814814814814,0.3333333333333333,0.20512820512820515,0.24615384615384617,0.4,0.0
"(2.999, 10.0]",question_words_bin,11,0.45454545454545453,0.4666666666666666,0.4444444444444444,0.35714285714285715,0.34415584415584416,0.45454545454545453,0.0
"(305.0, 1220.0]",answer_words_bin,10,0.5,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.5,0.0
"(5.999, 65.667]",answer_words_bin,10,0.6,0.4000000000000001,0.6,0.45714285714285713,0.5142857142857142,0.6,0.0
"(65.667, 305.0]",answer_words_bin,10,0.3,0.09999999999999999,0.3333333333333333,0.15384615384615385,0.13846153846153847,0.3,0.0
"(321.667, 1246.0]",combined_words_bin,10,0.5,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.5,0.0
"(75.0, 321.667]",combined_words_bin,10,0.3,0.09999999999999999,0.3333333333333333,0.15384615384615385,0.13846153846153847,0.3,0.0
"(9.999, 75.0]",combined_words_bin,10,0.6,0.4000000000000001,0.6,0.45714285714285713,0.5142857142857142,0.6,0.0
