group,group_col,n,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,f1_micro,invalid_rate
"(10.0, 16.667]",question_words_bin,9,0.5555555555555556,0.3833333333333333,0.5333333333333333,0.41269841269841273,0.4973544973544974,0.5555555555555556,0.0
"(16.667, 76.0]",question_words_bin,10,0.4,0.25396825396825395,0.4166666666666667,0.3151515151515151,0.29818181818181816,0.4,0.0
"(2.999, 10.0]",question_words_bin,11,0.2727272727272727,0.18888888888888888,0.27777777777777773,0.2222222222222222,0.2222222222222222,0.2727272727272727,0.0
"(305.0, 1220.0]",answer_words_bin,10,0.4,0.16666666666666666,0.26666666666666666,0.20512820512820515,0.3076923076923077,0.4,0.0
"(5.999, 65.667]",answer_words_bin,10,0.3,0.14285714285714285,0.19999999999999998,0.16666666666666666,0.25,0.3,0.0
"(65.667, 305.0]",answer_words_bin,10,0.5,0.3333333333333333,0.5,0.38888888888888884,0.4,0.5,0.0
"(321.667, 1246.0]",combined_words_bin,10,0.4,0.16666666666666666,0.26666666666666666,0.20512820512820515,0.3076923076923077,0.4,0.0
"(75.0, 321.667]",combined_words_bin,10,0.5,0.3333333333333333,0.5,0.38888888888888884,0.4,0.5,0.0
"(9.999, 75.0]",combined_words_bin,10,0.3,0.14285714285714285,0.19999999999999998,0.16666666666666666,0.25,0.3,0.0
